"FTICR_ID","Core","Suction","Moisture","Wetting","Amendments","Homogenization","Assignment"
"LIntCal_0_243",52,1.5,"drought","groundw","control","Homogenized","1.5-drought-groundw-control-Homogenized"
"LIntCal_0_275",52,50,"drought","groundw","control","Homogenized","50-drought-groundw-control-Homogenized"
"LIntCal_0_168",52,1.5,"drought","groundw","control","Intact","1.5-drought-groundw-control-Intact"
"LIntCal_0_241",52,15,"drought","groundw","control","Intact","15-drought-groundw-control-Intact"
"LIntCal_0_260",52,50,"drought","groundw","control","Intact","50-drought-groundw-control-Intact"
"LIntCal_0_100",53,1.5,"fm","precip","control","Homogenized","1.5-fm-precip-control-Homogenized"
"LIntCal_0_132",53,15,"fm","precip","control","Homogenized","15-fm-precip-control-Homogenized"
"LIntCal_0_106",53,50,"fm","precip","control","Homogenized","50-fm-precip-control-Homogenized"
"LIntCal_0_25",53,1.5,"fm","precip","control","Intact","1.5-fm-precip-control-Intact"
"LIntCal_0_24",53,15,"fm","precip","control","Intact","15-fm-precip-control-Intact"
"LIntCal_0_66",53,50,"fm","precip","control","Intact","50-fm-precip-control-Intact"
"LIntCal_0_193",54,1.5,"drought","precip","C","Homogenized","1.5-drought-precip-C-Homogenized"
"LIntCal_0_204",54,15,"drought","precip","C","Homogenized","15-drought-precip-C-Homogenized"
"LIntCal_0_256",54,50,"drought","precip","C","Homogenized","50-drought-precip-C-Homogenized"
"LIntCal_0_234",54,1.5,"drought","precip","C","Intact","1.5-drought-precip-C-Intact"
"LIntCal_0_280",54,15,"drought","precip","C","Intact","15-drought-precip-C-Intact"
"LIntCal_0_154",54,50,"drought","precip","C","Intact","50-drought-precip-C-Intact"
"LIntCal_0_142",55,1.5,"fm","groundw","C","Homogenized","1.5-fm-groundw-C-Homogenized"
"LIntCal_0_77",55,15,"fm","groundw","C","Homogenized","15-fm-groundw-C-Homogenized"
"LIntCal_0_136",55,50,"fm","groundw","C","Homogenized","50-fm-groundw-C-Homogenized"
"LIntCal_0_32",55,1.5,"fm","groundw","C","Intact","1.5-fm-groundw-C-Intact"
"LIntCal_0_41",55,15,"fm","groundw","C","Intact","15-fm-groundw-C-Intact"
"LIntCal_0_11",55,50,"fm","groundw","C","Intact","50-fm-groundw-C-Intact"
"LIntCal_0_208",56,1.5,"drought","groundw","C","Homogenized","1.5-drought-groundw-C-Homogenized"
"LIntCal_0_203",56,15,"drought","groundw","C","Homogenized","15-drought-groundw-C-Homogenized"
"LIntCal_0_213",56,50,"drought","groundw","C","Homogenized","50-drought-groundw-C-Homogenized"
"LIntCal_0_224",56,1.5,"drought","groundw","C","Intact","1.5-drought-groundw-C-Intact"
"LIntCal_0_157",56,50,"drought","groundw","C","Intact","50-drought-groundw-C-Intact"
"LIntCal_0_96",58,1.5,"fm","precip","N","Homogenized","1.5-fm-precip-N-Homogenized"
"LIntCal_0_139",58,15,"fm","precip","N","Homogenized","15-fm-precip-N-Homogenized"
"LIntCal_0_49",58,1.5,"fm","precip","N","Intact","1.5-fm-precip-N-Intact"
"LIntCal_0_3",58,15,"fm","precip","N","Intact","15-fm-precip-N-Intact"
"LIntCal_0_50",58,50,"fm","precip","N","Intact","50-fm-precip-N-Intact"
"LIntCal_0_272",59,1.5,"drought","groundw","N","Homogenized","1.5-drought-groundw-N-Homogenized"
"LIntCal_0_163",59,15,"drought","groundw","N","Homogenized","15-drought-groundw-N-Homogenized"
"LIntCal_0_200",59,50,"drought","groundw","N","Homogenized","50-drought-groundw-N-Homogenized"
"LIntCal_0_242",59,1.5,"drought","groundw","N","Intact","1.5-drought-groundw-N-Intact"
"LIntCal_0_255",59,15,"drought","groundw","N","Intact","15-drought-groundw-N-Intact"
"LIntCal_0_247",59,50,"drought","groundw","N","Intact","50-drought-groundw-N-Intact"
"LIntCal_0_90",6,1.5,"fm","groundw","C","Homogenized","1.5-fm-groundw-C-Homogenized"
"LIntCal_0_105",6,15,"fm","groundw","C","Homogenized","15-fm-groundw-C-Homogenized"
"LIntCal_0_75",6,50,"fm","groundw","C","Homogenized","50-fm-groundw-C-Homogenized"
"LIntCal_0_29",6,1.5,"fm","groundw","C","Intact","1.5-fm-groundw-C-Intact"
"LIntCal_0_35",6,15,"fm","groundw","C","Intact","15-fm-groundw-C-Intact"
"LIntCal_0_67",6,50,"fm","groundw","C","Intact","50-fm-groundw-C-Intact"
"LIntCal_0_111",60,1.5,"fm","groundw","control","Homogenized","1.5-fm-groundw-control-Homogenized"
"LIntCal_0_127",60,15,"fm","groundw","control","Homogenized","15-fm-groundw-control-Homogenized"
"LIntCal_0_141",60,50,"fm","groundw","control","Homogenized","50-fm-groundw-control-Homogenized"
"LIntCal_0_12",60,1.5,"fm","groundw","control","Intact","1.5-fm-groundw-control-Intact"
"LIntCal_0_48",60,15,"fm","groundw","control","Intact","15-fm-groundw-control-Intact"
"LIntCal_0_145",62,1.5,"drought","precip","N","Homogenized","1.5-drought-precip-N-Homogenized"
"LIntCal_0_155",62,15,"drought","precip","N","Homogenized","15-drought-precip-N-Homogenized"
"LIntCal_0_253",62,50,"drought","precip","N","Homogenized","50-drought-precip-N-Homogenized"
"LIntCal_0_239",62,1.5,"drought","precip","N","Intact","1.5-drought-precip-N-Intact"
"LIntCal_0_158",62,15,"drought","precip","N","Intact","15-drought-precip-N-Intact"
"LIntCal_0_262",62,50,"drought","precip","N","Intact","50-drought-precip-N-Intact"
"LIntCal_0_143",63,1.5,"fm","groundw","N","Homogenized","1.5-fm-groundw-N-Homogenized"
"LIntCal_0_95",63,15,"fm","groundw","N","Homogenized","15-fm-groundw-N-Homogenized"
"LIntCal_0_84",63,50,"fm","groundw","N","Homogenized","50-fm-groundw-N-Homogenized"
"LIntCal_0_40",63,1.5,"fm","groundw","N","Intact","1.5-fm-groundw-N-Intact"
"LIntCal_0_31",63,15,"fm","groundw","N","Intact","15-fm-groundw-N-Intact"
"LIntCal_0_65",63,50,"fm","groundw","N","Intact","50-fm-groundw-N-Intact"
"LIntCal_0_156",7,1.5,"drought","groundw","C","Homogenized","1.5-drought-groundw-C-Homogenized"
"LIntCal_0_207",7,15,"drought","groundw","C","Homogenized","15-drought-groundw-C-Homogenized"
"LIntCal_0_288",7,50,"drought","groundw","C","Homogenized","50-drought-groundw-C-Homogenized"
"LIntCal_0_177",7,15,"drought","groundw","C","Intact","15-drought-groundw-C-Intact"
"LIntCal_0_210",7,50,"drought","groundw","C","Intact","50-drought-groundw-C-Intact"
"LIntCal_0_125",8,1.5,"fm","groundw","control","Homogenized","1.5-fm-groundw-control-Homogenized"
"LIntCal_0_115",8,15,"fm","groundw","control","Homogenized","15-fm-groundw-control-Homogenized"
"LIntCal_0_120",8,50,"fm","groundw","control","Homogenized","50-fm-groundw-control-Homogenized"
"LIntCal_0_52",8,1.5,"fm","groundw","control","Intact","1.5-fm-groundw-control-Intact"
"LIntCal_0_19",8,15,"fm","groundw","control","Intact","15-fm-groundw-control-Intact"
"LIntCal_0_71",8,50,"fm","groundw","control","Intact","50-fm-groundw-control-Intact"
